MovieId,CrewId,Name,Role
143049,9306,Scott Coffey,Director
209276,3055,David Mackenzie,Director
209276,7583,Gillian Berrie,Producer
272692,124695,David Jung,Director
286548,65615,Wych Kaosayananda,Director
234564,1270047,Daniel Sousa,Director
120467,5655,Wes Anderson,Director
120467,5655,Wes Anderson,Producer
120467,1004835,Jeremy Dawson,Producer
120467,1004836,Steven M. Rales,Producer
120467,2997,Scott Rudin,Producer
23048,3227,Steve Pink,Director
288711,103926,Robert F. McGowan,Director
42052,127494,Louise Archambault,Director
253310,5665,Dan Beers,Director
204668,139818,Nicolas Vanier,Director
615,2461,Mel Gibson,Director
615,2461,Mel Gibson,Producer
615,2487,Bruce Davey,Producer
615,8747,Stephen McEveety,Producer
207323,123248,Jørgen Lerdam,Director
48888,30207,Lewis R. Foster,Director
230222,57035,Reinhard Klooss,Director
230222,57035,Reinhard Klooss,Producer
230222,4017,Robert Kulzer,Producer
49521,15217,Zack Snyder,Director
49521,525,Christopher Nolan,Producer
49521,79242,Wesley Coller,Producer
49521,282,Charles Roven,Producer
49521,79243,Deborah Snyder,Producer
49521,556,Emma Thomas,Producer
68718,138,Quentin Tarantino,Director
68718,68215,Reginald Hudlin,Producer
68718,1003189,Pilar Savone,Producer
68718,5382,Stacey Sher,Producer
172391,1199049,Anthony Silverston,Director
253849,1155484,Kelly Dolen,Director
227783,1262197,Peter Lepeniotis,Director
64686,239571,Carl Rinsch,Director
64686,19282,Scott Stuber,Producer
64686,5378,Pamela Abdy,Producer
64686,2445,Eric McLeod,Producer
214093,144782,Arnaud Larrieu,Director
214093,146169,Jean-Marie Larrieu,Director
259018,60046,Tim Garrick,Director
259018,29525,Andrew Lazar,Producer
259018,1123422,Miri Yoon,Producer
155,525,Christopher Nolan,Director
155,525,Christopher Nolan,Producer
155,282,Charles Roven,Producer
155,556,Emma Thomas,Producer
260953,1284460,Caio Sóh,Director
59981,15780,Dan St. Pierre,Director
59981,73411,Roland Carroll,Producer
59981,73412,Ryan Carroll,Producer
59981,61295,Bonne Radford,Producer
77951,561061,Neil Nightingale,Director
77951,76590,Jinko Gotoh,Producer
77951,561061,Neil Nightingale,Producer
275619,1151647,James Kondelik,Director
275619,79390,Paul Bales,Producer
275619,30053,David Michael Latt,Producer
275619,236844,David Rimawi,Producer
184098,20400,Tim Story,Director
37724,10666,Barbara Broccoli,Producer
37724,69678,Michael G. Wilson,Producer
37724,39,Sam Mendes,Director
19995,2710,James Cameron,Director
19995,2710,James Cameron,Producer
19995,8529,Jon Landau,Producer
243683,1278722,Trish Sie,Director
243683,20739,Adam Shankman,Producer
243683,20742,Jennifer Gibgot,Producer
68721,1108,Shane Black,Director
68721,10850,Kevin Feige,Producer
242310,79279,Paco Cabezas,Director
242310,63721,Michael Mendelsohn,Producer
242310,38551,Richard Rionda Del Castro,Producer
49026,525,Christopher Nolan,Director
49026,525,Christopher Nolan,Producer
49026,282,Charles Roven,Producer
49026,556,Emma Thomas,Producer
215935,1200541,Yuval Adler,Director
152601,5953,Spike Jonze,Director
152601,1027025,Megan Ellison,Producer
152601,6955,Vincent Landay,Producer
152601,5953,Spike Jonze,Producer
1726,7626,Avi Arad,Producer
1726,15277,Jon Favreau,Director
233423,1276675,Nancy Florence Savard,Director
71552,68843,Jon Hurwitz,Director
71552,68844,Hayden Schlossberg,Director
116745,7399,Ben Stiller,Director
116745,7399,Ben Stiller,Producer
116745,52160,John Goldwyn,Producer
116745,65043,Samuel Goldwyn Jr.,Producer
116745,22302,Stuart Cornfeld,Producer
1771,4945,Joe Johnston,Director
1771,10850,Kevin Feige,Producer
1771,113674,Victoria Alonso,Producer
1771,1117747,Mitchell Bell,Producer
1771,1117748,Stephen Broussard,Producer
1771,1117749,Richard Whelan,Producer
82690,165787,Rich Moore,Director
82690,928605,Monica Lago-Kaytis,Producer
82690,69798,Clark Spencer,Producer
152599,20561,James Gray,Director
152599,1128690,Christopher Woodrow,Producer
152599,20561,James Gray,Producer
152599,60187,Anthony Katagas,Producer
152599,19658,Greg Shapiro,Producer
209403,23532,Jason Bateman,Director
10138,15277,Jon Favreau,Director
10138,10850,Kevin Feige,Producer
10138,113674,Victoria Alonso,Producer
10138,113675,Jeremy Latcham,Producer
273467,94151,Thierry Poiraud,Director
273467,119195,Benjamin Rocher,Director
180296,22214,David Wain,Director
11,1,George Lucas,Director
11,12401,Gary Kurtz,Producer
11,19801,Rick McCallum,Producer
133805,2836,Kimberly Peirce,Director
133805,57343,Kevin Misher,Producer
107846,29605,Mikael Håfström,Director
107846,59700,Robbie Brenner,Producer
107846,46088,Mark Canton,Producer
107846,17211,Randall Emmett,Producer
107846,16486,Kevin King Templeton,Producer
107846,1001705,Remington Chase,Producer
49047,11218,Alfonso Cuarón,Director
